Timestamp,Accelerometer,Encoder,Potentiometer,Pushbutton,Switch
163628,278,1132,487,0,1
163694,281,1132,487,0,1
163760,288,1132,487,0,1
163826,288,1136,487,0,1
163859,288,1136,487,0,1
163925,293,1137,487,0,1
163991,292,1137,487,0,1
164057,291,1137,487,0,1
164123,29,1137,487,0,1
164221,289,1137,487,0,1
164287,290,1137,487,0,1
164354,292,1137,487,0,1
164420,293,1137,487,0,1
164519,293,1137,487,0,1
164586,293,1137,487,0,1
164651,294,1137,487,0,1
164717,294,1137,487,0,1
164816,289,1137,487,0,1
164883,285,1137,487,0,1
164949,282,1137,487,0,1
165016,285,1137,487,0,1
165091,287,1137,487,0,1
165161,288,1137,487,0,1
165227,288,1137,487,0,1
165260,288,1137,487,0,1
165327,295,1137,487,0,1
165394,292,1137,487,0,1
165460,293,1137,487,0,1
165525,294,1137,487,0,1
165624,292,1137,487,0,1
165690,294,1137,487,0,1
165755,288,1138,487,0,1
165821,288,1140,487,0,1
165920,280,1141,487,0,1
165985,294,1142,487,0,1
166051,292,1143,487,0,1
166116,286,1145,487,0,1
166214,284,1146,487,0,1
166280,289,1149,487,0,1
166346,280,1150,487,0,1
166413,290,1151,487,0,1
166479,290,1152,487,0,1
166512,290,1152,487,0,1
166577,299,1154,487,0,1
166643,293,1156,487,0,1
166709,295,1157,487,0,1
166775,28,1157,487,0,1
166874,292,1157,487,0,1
166939,298,1157,487,0,1
167005,284,1158,487,0,1
167071,298,1158,487,0,1
167170,296,1158,487,0,1
167236,294,1158,487,0,1
167302,291,1158,487,0,1
167370,290,1158,487,0,1
167468,292,1158,487,0,1
167534,291,1159,487,0,1
167599,290,1159,487,0,1
167665,289,1160,487,0,1
167764,285,1160,487,0,1
167830,285,1160,487,0,1
167896,288,1160,487,0,1
167962,291,1160,487,0,1
168027,291,1160,487,0,1
168060,291,1160,487,0,1
168126,290,1160,487,0,1
168191,288,1160,487,0,1
168258,289,1160,487,0,1
168323,29,1160,487,0,1
168422,292,1160,487,0,1
168488,293,1160,487,0,1
168554,292,1160,487,0,1
168620,292,1160,487,0,1
168718,292,1160,487,0,1
168783,291,1160,487,0,1
168849,289,1160,487,0,1
168914,289,1160,487,0,1
169013,288,1160,487,0,1
169079,288,1160,487,0,1
169145,291,1160,487,0,1
169211,289,1160,487,0,1
169310,289,1160,487,0,1
169385,290,1160,487,0,1
169505,293,1160,487,0,1
169571,293,1160,487,0,1
169638,294,1160,487,0,1
169704,298,1160,487,0,1
169770,294,1160,487,0,1
169836,290,1160,487,0,1
169902,288,1160,487,0,1
169967,288,1160,487,0,1
170033,290,1160,487,0,1
170099,288,1160,487,0,1
170165,289,1160,487,0,1
170263,293,1160,487,0,1
170328,291,1160,487,0,1
170395,290,1161,487,0,1
170461,288,1162,487,0,1
170560,292,1162,487,0,1
170626,295,1162,487,0,1
170692,294,1162,487,0,1
170757,293,1162,487,0,1
170856,290,1162,487,0,1
170923,291,1162,487,0,1
170988,289,1162,487,0,1
171058,292,1163,487,0,1
171124,293,1163,487,0,1
171223,288,1163,487,0,1
171289,291,1163,487,0,1
171356,291,1163,487,0,1
171423,291,1163,487,0,1
171489,2,1163,487,0,1
171588,290,1164,487,0,1
171654,291,1164,487,0,1
171720,288,1164,487,0,1
171786,291,1164,487,0,1
171885,292,1164,487,0,1
171951,288,1164,487,0,1
172017,292,1164,487,0,1
172082,292,1165,487,0,1
172181,285,1167,487,0,1
172247,296,1168,487,0,1
172313,293,1169,487,0,1
172379,295,1170,487,0,1
172445,295,1172,487,0,1
172479,295,1172,487,0,1
172546,290,1174,487,0,1
172612,285,1176,487,0,1
172677,282,1178,487,0,1
172743,282,1179,487,0,1
172776,282,1179,487,0,1
172842,284,1179,487,0,1
172908,289,1181,487,0,1
172974,287,1181,487,0,1
173040,295,1181,487,0,1
173139,297,1183,487,0,1
173205,291,1185,487,0,1
173271,289,1188,487,0,1
173338,278,1189,487,0,1
173404,278,1189,0,0,1
173437,278,1189,0,0,1
173503,293,1189,487,0,1
173569,293,1189,487,0,1
173634,294,1189,487,0,1
173700,29,1189,487,0,1
173798,290,1189,487,0,1
173864,291,1189,487,0,1
173930,285,1191,487,0,1
173996,290,1192,487,0,1
174095,291,1194,487,0,1
174161,296,1196,487,0,1
174227,293,1198,487,0,1
174293,294,1202,487,0,1
174395,289,1202,487,0,1
174471,285,1202,487,0,1
174537,278,1202,487,0,1
174603,276,1204,487,0,1
174669,288,1205,487,0,1
174735,294,1205,487,0,1
174834,299,1208,487,0,1
174901,296,1209,487,0,1
174966,287,1210,487,0,1
175033,286,1212,487,0,1
175099,286,1214,487,0,1
175132,286,1214,487,0,0
175198,297,1216,487,0,1
175264,278,1217,487,0,1
175337,287,1217,487,0,1
175418,287,1217,487,0,1
175484,288,1217,487,0,1
175551,297,1218,487,0,1
175617,295,1219,487,0,1
175716,288,1221,487,0,1
175781,282,1221,487,0,1
175847,284,1224,487,0,1
175913,288,1226,487,0,1
176012,290,1228,487,0,1
176078,287,1229,487,0,1
176143,281,1231,487,0,1
176209,286,1233,487,0,1
176308,290,1233,487,0,1
176374,287,1233,487,0,1
176440,290,1233,487,0,1
176506,289,1233,487,0,1
176572,289,1233,487,0,1
176605,289,1233,487,0,1
176671,288,1233,487,0,1
